time,ax,ay,az,atotal
0.002655029296875,-1.65,-0.76,1.76,2.52
0.009039163589477539,-1.62,-0.75,1.76,2.5
0.02027130126953125,-1.69,-0.97,1.57,2.5
0.0292510986328125,-1.58,-1.16,1.36,2.38
0.04043412208557129,-1.2,-1.16,1.61,2.31
0.05092811584472656,-0.81,-1.04,1.89,2.3
0.05941414833068848,-0.66,-0.96,2.04,2.34
0.07068920135498047,-0.72,-0.83,1.91,2.2
0.07963013648986816,-0.75,-0.65,1.48,1.78
0.09127521514892578,-0.79,-0.49,0.73,1.18
0.1014401912689209,-0.75,-0.29,0.05,0.8
0.11004114151000977,-0.64,-0.05,-0.62,0.89
0.1201632022857666,-0.61,0.05,-1.05,1.21
0.13018512725830078,-0.6,0.1,-1.39,1.51
0.1418471336364746,-0.76,0.18,-1.8,1.96
0.15210914611816406,-1.06,0.16,-2.03,2.29
0.16045618057250977,-1.21,0.12,-2.35,2.64
0.1715402603149414,-1.25,0.21,-2.58,2.87
0.18059515953063965,-1.05,0.35,-2.36,2.6
0.1928262710571289,-1.07,0.2,-1.78,2.08
0.20207929611206055,-1.14,0.16,-1.45,1.85
0.21097421646118164,-1.26,0.29,-1.48,1.96
0.22084903717041016,-1.36,0.32,-1.21,1.84
0.2310810089111328,-1.26,0.2,-0.73,1.46
0.24262428283691406,-0.91,0.23,-0.31,0.98
0.25229310989379883,-0.44,0.33,0.07,0.55
0.2612910270690918,-0.03,0.39,0.29,0.48
0.27202916145324707,0.13,0.43,0.43,0.62
0.2812941074371338,0.07,0.43,0.12,0.45
0.29309821128845215,-0.06,0.44,-0.46,0.63
0.30268001556396484,-0.17,0.46,-0.85,0.98
0.3115100860595703,-0.17,0.52,-1.15,1.27
0.3218979835510254,-0.2,0.64,-1.33,1.48
0.33193516731262207,-0.22,0.77,-1.27,1.5
0.34351301193237305,-0.12,0.92,-0.86,1.26
0.35318899154663086,0.04,1.02,-0.43,1.1
0.3618803024291992,0.37,1.04,-0.05,1.1
0.3722200393676758,0.62,1.06,0.35,1.27
0.38233232498168945,0.71,1.13,0.51,1.42
0.3938922882080078,0.63,1.17,0.33,1.36
0.40350914001464844,0.39,1.13,-0.1,1.19
0.4125080108642578,0.18,1.12,-0.42,1.2
0.42266011238098145,0.16,1.17,-0.57,1.31
0.43314027786254883,0.2,1.18,-0.3,1.23
0.4443483352661133,0.26,1.09,0.4,1.18
0.4541640281677246,0.35,0.95,0.99,1.41
0.46294212341308594,0.41,0.86,1.38,1.67
0.47303009033203125,0.33,0.77,1.58,1.78
0.48354101181030273,0.17,0.63,1.45,1.59
0.49480533599853516,0.03,0.5,1.03,1.14
0.5046000480651855,0.12,0.52,0.53,0.75
0.5133180618286133,0.33,0.54,0.35,0.72
0.5234322547912598,0.45,0.39,0.28,0.65
0.5341501235961914,0.53,0.24,-0.04,0.58
0.5451891422271729,0.62,0.21,-0.41,0.77
0.5549931526184082,0.68,-0.02,-0.45,0.81
0.5638082027435303,0.73,-0.37,0.02,0.81
0.5740032196044922,0.87,-0.79,0.54,1.29
0.5843982696533203,1.08,-1.13,1.22,1.98
0.5957121849060059,1.2,-1.39,1.85,2.6
0.6053481101989746,1.19,-1.62,2.49,3.2
0.6142072677612305,1.21,-1.78,2.95,3.65
0.6242780685424805,1.33,-1.87,3.21,3.94
0.634357213973999,1.47,-1.85,3.27,4.03
0.6460232734680176,1.39,-1.76,2.86,3.63
0.6558070182800293,1.04,-1.71,1.93,2.78
0.6644802093505859,0.56,-1.64,0.87,1.93
0.6745681762695312,0.13,-1.54,-0.36,1.58
0.6845991611480713,-0.04,-1.5,-1.5,2.12
0.6961441040039062,0.26,-1.4,-1.86,2.34
0.7059102058410645,0.88,-1.19,-1.28,1.95
0.7150583267211914,1.46,-0.93,-0.33,1.76
0.7251081466674805,1.66,-0.77,0.5,1.89
0.7350451946258545,1.41,-0.77,1.2,2.0
0.7466802597045898,0.83,-0.82,1.51,1.9
0.7566790580749512,0.05,-0.86,1.37,1.61
0.7697982788085938,-0.56,-0.88,0.99,1.43
0.7755622863769531,-0.84,-0.81,0.5,1.26
0.7857050895690918,-0.83,-0.72,-0.09,1.1
0.7973141670227051,-0.47,-0.67,-0.47,0.94
0.8070273399353027,0.03,-0.62,-0.57,0.84
0.8158001899719238,0.45,-0.56,-0.61,0.94
0.8258543014526367,0.6,-0.57,-0.57,1.0
0.8361902236938477,0.61,-0.48,-0.5,0.92
0.8475742340087891,0.63,-0.45,-0.57,0.96
0.8574752807617188,0.64,-0.5,-0.76,1.11
0.8702383041381836,0.65,-0.5,-0.92,1.23
0.8764221668243408,0.59,-0.43,-0.8,1.08
0.8864071369171143,0.48,-0.34,-1.06,1.21
0.8981432914733887,0.5,-0.39,-1.33,1.47
0.9078493118286133,0.64,-0.46,-1.26,1.48
0.920173168182373,0.86,-0.37,-1.12,1.45
0.9267830848693848,1.09,-0.16,-1.1,1.55
0.9369461536407471,1.25,-0.07,-0.96,1.57
0.9486281871795654,1.14,-0.07,-0.92,1.46
0.9585700035095215,0.94,-0.12,-1.04,1.4
0.9713940620422363,0.8,-0.13,-1.08,1.35
0.9773082733154297,0.59,-0.05,-1.15,1.29
0.9873461723327637,0.19,0.05,-1.39,1.4
0.9992842674255371,-0.11,0.13,-1.25,1.26
1.008960247039795,-0.1,0.17,-0.78,0.8
1.0208251476287842,0.02,0.22,-0.58,0.62
1.027611255645752,0.19,0.21,-0.69,0.74
1.0377631187438965,0.44,0.14,-0.66,0.8
1.0500001907348633,0.68,0.19,-0.71,1.0
1.0593452453613281,0.76,0.35,-1.01,1.31
1.0714740753173828,0.64,0.41,-1.29,1.49
1.0779080390930176,0.49,0.42,-1.29,1.44
1.0881152153015137,0.37,0.43,-1.07,1.21
1.1001231670379639,0.29,0.43,-1.06,1.18
1.1094870567321777,0.22,0.41,-1.35,1.42
1.1204700469970703,0.24,0.43,-1.27,1.36
1.1283512115478516,0.38,0.52,-1.01,1.19
1.1385960578918457,0.47,0.64,-0.8,1.12
1.1506919860839844,0.46,0.61,-0.53,0.92
1.1598210334777832,0.44,0.45,-0.24,0.67
1.170316219329834,0.27,0.28,-0.18,0.42
1.1787781715393066,0.03,0.13,-0.2,0.24
1.1889781951904297,-0.13,-0.08,-0.07,0.16
1.201247215270996,-0.27,-0.19,-0.22,0.39
1.2103281021118164,-0.3,-0.17,-0.49,0.59
1.220804214477539,-0.28,-0.07,-0.46,0.54
1.2292160987854004,-0.16,-0.07,0.01,0.17
1.239659309387207,-0.14,-0.12,0.24,0.3
1.2517411708831787,-0.13,-0.23,0.52,0.58
1.2609481811523438,-0.1,-0.22,0.88,0.91
1.2710843086242676,-0.1,0.0,0.75,0.75
1.2796950340270996,-0.22,0.14,0.59,0.64
1.2898073196411133,-0.46,0.06,0.75,0.88
1.3019371032714844,-0.76,-0.06,0.9,1.17
1.3111371994018555,-1.09,-0.19,0.87,1.4
1.320317268371582,-1.4,-0.45,0.85,1.69
1.3300342559814453,-1.54,-0.72,1.12,2.03
1.3402271270751953,-1.48,-0.87,1.46,2.25
1.352006196975708,-1.41,-1.02,1.38,2.22
1.361551284790039,-1.47,-1.07,0.9,2.02
1.3720111846923828,-1.55,-1.02,0.29,1.87
1.380537986755371,-1.47,-0.98,-0.21,1.77
1.3904941082000732,-1.19,-0.86,-0.4,1.52
1.4021692276000977,-0.76,-0.67,-0.29,1.05
1.4117732048034668,-0.29,-0.59,-0.02,0.65
1.4208612442016602,0.17,-0.58,0.52,0.79
1.4307432174682617,0.61,-0.49,1.16,1.39
1.4410481452941895,0.96,-0.3,1.7,1.97
1.4523119926452637,1.08,-0.14,2.03,2.3
1.462130069732666,0.98,-0.07,2.17,2.38
1.4716320037841797,0.62,-0.05,2.08,2.17
1.481074333190918,0.12,-0.01,1.54,1.54
1.4912021160125732,-0.41,0.08,1.06,1.13
1.5028862953186035,-1.07,0.19,0.95,1.44
1.512439250946045,-1.87,0.15,0.96,2.1
1.5214581489562988,-2.57,0.24,0.77,2.69
1.5315780639648438,-2.94,0.3,0.26,2.96
1.5419583320617676,-2.92,0.31,-0.17,2.94
1.5531792640686035,-2.57,0.35,-0.46,2.63
1.5642762184143066,-2.01,0.44,-0.57,2.13
1.5732359886169434,-1.36,0.5,-0.61,1.57
1.5821142196655273,-0.78,0.55,-0.77,1.22
1.592175006866455,-0.35,0.58,-1.08,1.27
1.6037921905517578,-0.08,0.55,-1.22,1.34
1.6133842468261719,0.1,0.57,-1.17,1.3
1.6224391460418701,0.26,0.59,-1.15,1.31
1.6324992179870605,0.3,0.59,-1.19,1.36
1.6427712440490723,0.28,0.58,-1.04,1.22
1.654123306274414,0.04,0.59,-1.0,1.16
1.6646332740783691,-0.38,0.62,-1.07,1.29
1.673511028289795,-0.83,0.68,-0.99,1.45
1.6833751201629639,-1.08,0.71,-0.83,1.53
1.6929821968078613,-1.14,0.7,-0.63,1.47
1.7045822143554688,-1.08,0.64,-0.54,1.36
1.7141799926757812,-0.96,0.62,-0.71,1.34
1.7231383323669434,-0.8,0.6,-0.9,1.34
1.7336649894714355,-0.55,0.59,-0.92,1.22
1.7435331344604492,-0.19,0.61,-0.75,0.98
1.754939079284668,0.12,0.62,-0.5,0.8
1.7653450965881348,0.19,0.62,-0.44,0.78
1.774092197418213,0.03,0.57,-0.53,0.77
1.7843012809753418,-0.08,0.46,-0.55,0.72
1.7938480377197266,-0.06,0.4,-0.49,0.63
1.8053641319274902,0.16,0.41,-0.35,0.56
1.815157175064087,0.41,0.41,-0.05,0.58
1.8243160247802734,0.61,0.38,0.37,0.8
1.8342900276184082,0.76,0.31,0.67,1.05
