time,ax,ay,az,atotal
0.008233070373535156,1.19,-1.11,0.27,1.64
0.017750978469848633,1.47,-0.69,0.32,1.65
0.027200937271118164,1.27,-0.7,-0.79,1.65
0.037290096282958984,0.36,-1.07,-1.92,2.22
0.047241926193237305,-0.49,-1.48,-2.27,2.75
0.05986595153808594,-0.7,-1.77,-2.05,2.79
0.07136893272399902,-0.51,-1.66,-2.05,2.68
0.07809996604919434,-0.13,-1.47,-1.72,2.26
0.08762788772583008,0.08,-1.93,-1.26,2.3
0.09768199920654297,0.12,-2.59,-0.55,2.65
0.10894107818603516,0.15,-3.02,0.11,3.02
0.11773681640625,0.13,-3.02,0.65,3.09
0.12793207168579102,0.01,-2.28,0.88,2.44
0.13811802864074707,-0.02,-1.0,0.85,1.31
0.1480729579925537,0.35,0.75,1.42,1.64
0.16101408004760742,0.4,1.3,0.2,1.37
0.1715679168701172,0.01,0.61,-2.37,2.44
0.1785588264465332,0.06,0.06,-3.05,3.05
0.18851995468139648,0.25,-0.31,-2.2,2.23
0.19864296913146973,0.32,-0.98,-1.44,1.77
0.20992708206176758,0.17,-1.51,-1.59,2.19
0.21877813339233398,0.02,-1.58,-2.11,2.63
0.22881102561950684,0.11,-1.37,-2.39,2.75
0.23898696899414062,0.48,-0.94,-2.11,2.35
0.2492361068725586,0.7,-0.56,-1.39,1.65
0.26180505752563477,0.91,-0.27,-0.83,1.26
0.27138614654541016,1.09,0.0,-0.49,1.19
0.27915000915527344,1.11,0.08,-0.03,1.11
0.2893338203430176,1.06,-0.2,0.48,1.18
0.2994050979614258,1.16,-0.52,0.75,1.47
0.3106989860534668,1.36,-0.69,0.86,1.75
0.31966400146484375,1.66,-0.72,0.74,1.95
0.32979488372802734,1.77,-0.68,0.46,1.95
0.3397660255432129,1.88,-0.5,0.14,1.95
0.349869966506958,1.97,-0.08,-0.12,1.97
0.36123085021972656,1.63,0.39,-0.4,1.72
0.3713040351867676,1.25,0.66,-0.86,1.65
0.38008999824523926,0.85,0.75,-1.23,1.67
0.3901858329772949,0.75,0.73,-1.21,1.59
0.40072011947631836,0.88,0.37,-0.9,1.31
0.41176414489746094,0.96,-0.13,-0.34,1.02
0.42049694061279297,1.17,-0.38,0.3,1.26
0.4304370880126953,1.44,-0.26,0.8,1.66
0.44060301780700684,1.62,-0.05,1.2,2.01
0.4511990547180176,1.52,0.05,1.37,2.04
0.46195292472839355,1.29,0.27,1.14,1.74
0.4715280532836914,1.11,0.46,0.75,1.41
0.4809260368347168,0.86,0.49,0.49,1.1
0.4912109375,0.64,0.41,0.41,0.86
0.5011100769042969,0.5,0.39,0.43,0.76
0.5124189853668213,0.53,0.5,0.57,0.92
0.5213050842285156,0.77,0.56,0.7,1.18
0.53131103515625,0.91,0.62,1.04,1.51
0.5414309501647949,0.71,0.61,1.66,1.9
0.5513999462127686,0.48,0.45,2.1,2.2
0.5629019737243652,0.19,0.35,2.05,2.08
0.5716800689697266,-0.03,0.29,1.69,1.71
0.5815539360046387,-0.07,0.29,1.19,1.22
0.5918099880218506,-0.43,0.38,0.85,1.02
0.6019210815429688,-0.89,0.22,0.65,1.12
0.6132011413574219,-1.23,-0.15,0.61,1.38
0.6220340728759766,-1.54,-0.61,0.86,1.86
0.6320648193359375,-1.67,-1.16,1.11,2.31
0.6422159671783447,-1.52,-1.32,1.44,2.47
0.6523628234863281,-1.3,-1.29,1.43,2.32
0.6637458801269531,-1.1,-1.37,1.0,2.02
0.6724939346313477,-1.02,-1.49,0.5,1.87
0.6824920177459717,-0.85,-1.49,-0.1,1.71
0.6925888061523438,-0.36,-1.28,-1.06,1.7
0.7027740478515625,-0.17,-0.91,-1.46,1.72
0.7143030166625977,-0.21,-0.87,-1.04,1.37
0.7229859828948975,-0.62,-1.11,-0.87,1.54
0.732975959777832,-1.17,-1.35,-0.84,1.97
0.7430579662322998,-1.46,-1.41,-0.43,2.07
0.7547459602355957,-1.69,-1.62,-0.44,2.38
0.7645800113677979,-1.97,-1.97,-0.92,2.93
0.7733809947967529,-2.04,-2.14,-1.2,3.19
0.7833390235900879,-2.22,-1.98,-1.43,3.3
0.7935070991516113,-2.68,-1.69,-1.49,3.5
0.8035478591918945,-3.23,-1.63,-1.21,3.81
0.814979076385498,-3.51,-1.83,-1.01,4.08
0.8237080574035645,-3.28,-2.02,-0.84,3.94
0.8341789245605469,-2.46,-1.97,-0.86,3.26
0.8439278602600098,-1.4,-1.87,-0.93,2.51
0.8553979396820068,-0.59,-1.91,-0.86,2.17
0.8656101226806641,0.05,-1.91,-0.62,2.0
0.8742051124572754,0.55,-1.73,-0.44,1.86
0.8843541145324707,0.72,-1.58,-0.34,1.76
0.8943538665771484,0.56,-1.56,-0.48,1.72
0.9044098854064941,0.15,-1.49,-0.92,1.75
0.9157469272613525,-0.25,-1.49,-1.49,2.12
0.9245738983154297,-0.5,-1.48,-1.65,2.27
0.9344148635864258,-0.78,-1.51,-1.62,2.34
0.9447498321533203,-1.15,-1.65,-1.7,2.63
0.9561309814453125,-1.54,-2.07,-2.12,3.33
0.9661908149719238,-1.84,-2.6,-2.79,4.23
0.9749410152435303,-1.81,-2.92,-3.03,4.58
0.9849390983581543,-1.48,-2.9,-3.12,4.5
0.9951529502868652,-0.95,-2.67,-3.22,4.28
1.0051960945129395,-0.56,-2.47,-3.33,4.18
1.0172438621520996,-0.63,-2.29,-3.49,4.22
1.025413990020752,-0.74,-2.32,-3.74,4.46
1.0354981422424316,-0.62,-2.55,-3.92,4.71
1.0455408096313477,-0.57,-2.8,-3.97,4.89
1.0568230152130127,-0.6,-3.01,-3.9,4.96
1.071220874786377,-0.74,-3.12,-3.44,4.7
1.075730800628662,-0.87,-2.95,-2.87,4.2
1.0859088897705078,-0.68,-2.38,-2.37,3.42
1.0959179401397705,-0.15,-1.51,-2.0,2.51
1.1061010360717773,0.24,-1.02,-1.85,2.12
1.1180670261383057,0.8,-1.07,-1.66,2.13
1.1262099742889404,1.51,-1.02,-1.4,2.29
1.1363279819488525,2.1,-0.25,-0.56,2.18
1.146371841430664,2.02,0.95,0.35,2.25
1.1564099788665771,1.12,1.69,1.59,2.57
1.1726040840148926,0.71,2.35,2.5,3.5
1.1766009330749512,0.29,2.96,2.87,4.13
1.1867480278015137,0.4,3.15,2.98,4.35
1.196753978729248,0.88,3.13,2.9,4.35
1.2068359851837158,1.65,3.11,3.31,4.83
1.2186999320983887,2.23,3.31,4.51,6.02
1.2270150184631348,1.99,3.69,6.47,7.7
1.23701810836792,1.25,4.17,7.5,8.67
1.247255802154541,0.12,4.2,7.18,8.31
1.257300853729248,-0.97,3.7,6.65,7.67
1.273118019104004,-1.44,3.48,5.17,6.39
1.277385950088501,-1.47,3.47,3.39,5.06
1.2874550819396973,-1.27,3.16,2.52,4.23
1.2976031303405762,-0.96,2.68,2.54,3.81
1.3079209327697754,-0.87,2.19,3.09,3.88
1.3192291259765625,-1.14,1.82,4.08,4.61
1.3278999328613281,-1.56,1.69,4.98,5.48
1.3379158973693848,-1.8,1.64,5.25,5.78
1.3479418754577637,-1.8,1.54,4.99,5.52
1.3580870628356934,-1.53,1.34,4.31,4.76
1.3728699684143066,-1.17,0.9,3.12,3.45
1.3782100677490234,-0.67,0.34,2.16,2.28
1.3883380889892578,-0.11,0.05,1.45,1.45
1.398432970046997,0.39,-0.04,1.01,1.08
1.4085278511047363,0.71,-0.23,0.95,1.2
1.4198241233825684,0.96,-0.08,0.77,1.23
1.4286839962005615,0.83,-0.37,0.82,1.22
1.4387431144714355,0.29,-1.32,0.97,1.66
1.4490139484405518,-0.21,-1.76,0.48,1.83
1.4589629173278809,-0.45,-1.98,-0.08,2.03
1.4737439155578613,-0.47,-1.93,-0.85,2.16
1.4790658950805664,-0.34,-1.63,-1.43,2.19
1.4891839027404785,0.02,-1.26,-1.5,1.95
1.4992618560791016,0.66,-0.92,-1.47,1.85
1.5094008445739746,1.37,-0.78,-1.2,1.98
1.520740032196045,1.89,-0.87,-0.94,2.28
1.5295400619506836,2.27,-1.02,-0.66,2.57
1.5395419597625732,2.51,-1.11,-0.51,2.79
1.5555369853973389,2.5,-1.2,-0.5,2.81
1.5597479343414307,2.28,-1.25,-0.72,2.69
1.5712838172912598,1.97,-1.5,-0.78,2.59
1.5799560546875,1.81,-1.59,-0.43,2.44
1.589986801147461,1.54,-1.54,-0.48,2.23
1.6001601219177246,1.22,-1.61,-0.99,2.24
1.6103229522705078,0.95,-1.77,-1.62,2.58
1.6218738555908203,1.03,-1.93,-2.33,3.19
1.6302759647369385,1.43,-1.93,-2.53,3.48
1.6404170989990234,1.75,-1.44,-2.38,3.28
1.656045913696289,1.99,-0.73,-2.09,2.97
1.660588026046753,1.9,-0.37,-1.28,2.32
1.6721301078796387,1.76,-0.15,-0.54,1.84
1.6807339191436768,1.91,0.33,0.15,1.94
1.6908378601074219,2.09,0.57,0.32,2.18
1.7011239528656006,1.98,0.55,0.18,2.06
1.7110249996185303,1.7,0.64,0.28,1.83
1.722510814666748,1.53,0.81,0.6,1.83
1.7312121391296387,1.58,0.92,0.97,2.06
1.7412559986114502,1.94,1.06,1.59,2.72
1.752668857574463,2.45,1.25,2.14,3.48
1.7614178657531738,2.32,1.38,2.39,3.6
1.7731618881225586,1.45,1.26,2.24,2.95
1.7816169261932373,0.55,0.93,1.59,1.92
1.7918338775634766,0.1,0.9,1.0,1.34
1.8015539646148682,0.06,1.32,0.59,1.44
1.811805009841919,0.33,1.74,0.5,1.84
1.8232109546661377,0.6,1.88,0.76,2.11
1.8319389820098877,0.62,1.85,0.75,2.09
1.8420460224151611,0.36,2.0,1.11,2.31
1.8531880378723145,-0.02,2.42,1.78,3.0
1.862278938293457,-1.37,2.25,2.16,3.4
1.8734819889068604,-4.34,1.37,2.03,4.98
1.882338047027588,-6.62,0.92,0.74,6.72
1.892305850982666,-7.42,0.07,-1.02,7.49
1.902540922164917,-6.63,-1.23,-1.96,7.02
1.9126520156860352,-4.89,-2.66,-1.64,5.8
1.9240000247955322,-1.76,-0.86,-0.74,2.09
1.9327549934387207,1.02,1.43,-0.11,1.75
1.9428701400756836,2.33,2.97,0.62,3.82
1.9550719261169434,1.42,3.01,1.01,3.47
1.962954044342041,-1.0,0.93,1.81,2.26
1.9743690490722656,-1.72,0.59,2.26,2.9
1.9832370281219482,-0.81,1.45,2.39,2.91
1.993237018585205,-0.31,1.38,2.48,2.85
2.003438949584961,-0.11,1.22,2.4,2.69
2.0134029388427734,0.05,1.03,2.22,2.44
2.024847984313965,0.46,0.76,2.05,2.23
2.0335299968719482,0.62,0.4,2.1,2.22
2.0437209606170654,1.13,0.19,1.98,2.28
2.054975986480713,2.31,0.66,1.53,2.84
2.063884973526001,3.25,0.8,0.94,3.47
2.075227975845337,4.01,0.67,0.32,4.07
2.084434986114502,4.43,0.72,0.23,4.49
2.094053030014038,4.05,0.58,0.48,4.11
2.1042017936706543,3.05,0.26,0.52,3.1
2.114284038543701,1.92,-0.04,0.47,1.97
2.125697135925293,0.9,-0.25,0.19,0.95
2.134521961212158,0.18,-0.31,-0.22,0.42
2.1444478034973145,-0.23,-0.43,-0.55,0.73
2.1550841331481934,-0.36,-0.6,-0.82,1.07
2.164597988128662,-0.33,-0.89,-0.84,1.26
2.175964832305908,-0.13,-1.27,-0.99,1.61
2.1846649646759033,0.35,-1.21,-1.25,1.77
2.194885015487671,0.73,-1.07,-1.2,1.76
2.205049991607666,0.79,-1.1,-1.22,1.82
2.2150819301605225,0.54,-1.07,-1.03,1.58
2.226501941680908,0.13,-1.03,-0.74,1.27
2.235146999359131,-0.59,-1.14,-0.5,1.37
2.2453229427337646,-1.67,-1.7,-0.28,2.39
2.2560830116271973,-2.57,-2.16,-0.06,3.35
2.265470027923584,-2.97,-2.48,-0.07,3.86
2.276945114135742,-3.24,-3.21,0.07,4.56
2.285576820373535,-3.13,-3.61,0.77,4.83
2.2956790924072266,-2.9,-3.54,0.94,4.67
2.30594801902771,-2.78,-3.42,0.45,4.43
2.3158929347991943,-2.79,-3.15,-0.44,4.23
2.3272781372070312,-3.04,-2.91,-0.78,4.27
2.336132049560547,-3.41,-2.65,-0.69,4.37
2.3473119735717773,-3.68,-2.29,-1.07,4.46
2.3561620712280273,-3.89,-2.14,-1.63,4.72
2.366173028945923,-3.89,-1.94,-1.7,4.66
2.3776819705963135,-3.09,-1.73,-1.6,3.88
2.386500835418701,-1.96,-1.29,-1.81,2.96
2.3965420722961426,-1.04,-0.59,-1.62,2.01
2.4066848754882812,-0.43,-0.13,-1.32,1.39
2.4167470932006836,0.0,0.12,-1.03,1.03
2.4282729625701904,0.18,0.32,-1.17,1.22
2.43704891204834,0.19,0.34,-1.3,1.35
2.448061943054199,0.75,0.27,-1.0,1.27
2.457026958465576,1.52,0.15,-0.81,1.72
2.467376947402954,2.27,0.18,-0.44,2.31
2.4783430099487305,3.12,0.77,0.42,3.24
2.487156867980957,3.56,1.56,1.25,4.08
