time,ax,ay,az,atotal
0.0074100494384765625,0.27,-3.11,1.35,3.4
0.012372016906738281,0.07,-3.48,-0.78,3.56
0.02402782440185547,-1.09,-2.58,-3.75,4.68
0.034329891204833984,-2.5,-1.29,-1.82,3.35
0.042788028717041016,-2.0,-2.72,-3.24,4.67
0.055873870849609375,-2.09,-2.55,-4.56,5.62
0.06305694580078125,-2.25,-1.74,-3.91,4.83
0.07433390617370605,-1.39,-1.36,-2.35,3.05
0.0846719741821289,0.16,-1.01,-0.64,1.2
0.09326982498168945,1.48,-0.41,0.52,1.62
0.10564994812011719,2.49,0.74,1.51,3.0
0.11341285705566406,2.93,1.11,1.45,3.45
0.1246790885925293,2.73,0.91,0.55,2.92
0.13505887985229492,2.22,0.2,-0.3,2.24
0.1436600685119629,1.54,-0.47,-0.56,1.7
0.1558818817138672,1.01,-1.04,-0.58,1.56
0.16381096839904785,0.71,-1.4,-0.42,1.62
0.1752159595489502,0.57,-1.57,0.0,1.67
0.18561196327209473,0.44,-1.72,0.48,1.83
0.19410300254821777,0.38,-1.73,1.04,2.05
0.20617294311523438,0.41,-1.72,1.44,2.28
0.21417498588562012,0.44,-1.54,1.74,2.36
0.22594308853149414,0.48,-1.28,1.84,2.29
0.23582196235656738,0.58,-1.14,1.58,2.03
0.2445049285888672,0.73,-1.04,0.95,1.58
0.2561299800872803,0.85,-0.9,0.11,1.24
0.2646799087524414,0.84,-0.81,-0.66,1.34
0.2760920524597168,0.75,-0.68,-1.39,1.71
0.28609800338745117,0.68,-0.37,-1.97,2.11
0.2950119972229004,0.63,-0.04,-2.19,2.27
0.30623483657836914,0.6,0.12,-2.01,2.1
0.3151240348815918,0.63,0.13,-1.6,1.72
0.32642197608947754,0.64,0.05,-1.13,1.29
0.3363049030303955,0.63,-0.01,-0.75,0.97
0.3454408645629883,0.65,0.01,-0.4,0.76
0.3558688163757324,0.66,0.0,-0.11,0.66
0.3655250072479248,0.69,-0.08,0.08,0.69
0.3770008087158203,0.71,-0.16,0.1,0.73
0.3870120048522949,0.67,-0.08,-0.04,0.67
0.395662784576416,0.65,0.03,0.0,0.65
0.405864953994751,0.61,0.02,0.07,0.61
0.4157547950744629,0.64,0.02,0.05,0.64
0.4272170066833496,0.67,0.07,0.0,0.67
0.43781399726867676,0.67,0.22,-0.2,0.73
0.44617700576782227,0.66,0.4,-0.46,0.89
0.4560971260070801,0.54,0.53,-0.74,1.05
0.46643996238708496,0.4,0.58,-1.06,1.27
0.47754383087158203,0.27,0.53,-1.25,1.38
0.4875009059906006,0.06,0.52,-1.27,1.37
0.4964628219604492,-0.16,0.54,-1.17,1.29
0.5066318511962891,-0.25,0.47,-0.93,1.07
0.5166079998016357,-0.17,0.38,-0.52,0.66
0.5278398990631104,-0.14,0.4,-0.36,0.55
0.5385029315948486,-0.19,0.59,-0.63,0.88
0.5469639301300049,-0.16,0.91,-1.06,1.4
0.5571060180664062,-0.06,1.19,-1.41,1.84
0.5675878524780273,-0.13,1.32,-1.54,2.03
0.5786559581756592,-0.29,1.28,-1.39,1.91
0.5884618759155273,-0.43,1.11,-0.98,1.54
0.5973479747772217,-0.54,0.89,-0.43,1.12
0.6076641082763672,-0.63,0.73,0.17,0.97
0.6180930137634277,-0.62,0.66,0.61,1.09
0.6291749477386475,-0.55,0.63,0.81,1.16
0.6396489143371582,-0.41,0.63,0.69,1.02
0.6478879451751709,-0.32,0.67,0.4,0.84
0.6580228805541992,-0.31,0.72,0.07,0.78
0.6680607795715332,-0.31,0.81,-0.17,0.88
0.6795589923858643,-0.3,0.94,-0.24,1.01
0.689323902130127,-0.25,1.09,-0.11,1.12
0.6983160972595215,-0.21,1.16,0.15,1.18
0.7083888053894043,-0.09,1.12,0.53,1.24
0.7182579040527344,0.05,1.04,0.74,1.27
0.7298679351806641,0.12,1.01,0.67,1.21
0.7404928207397461,0.16,0.99,0.45,1.09
0.7487549781799316,0.15,1.01,0.16,1.03
0.7588968276977539,0.12,1.05,-0.08,1.05
0.76869797706604,0.11,1.07,-0.18,1.09
0.7807369232177734,0.1,1.04,-0.17,1.05
0.7898550033569336,0.1,1.0,-0.04,1.0
0.7990150451660156,0.11,0.91,0.28,0.95
0.8090338706970215,0.04,0.91,0.7,1.14
0.8194379806518555,-0.17,1.01,0.73,1.25
0.8312888145446777,-0.3,0.99,0.25,1.06
0.8406357765197754,-0.3,0.98,-0.13,1.03
0.849452018737793,-0.35,0.97,-0.3,1.07
0.8603358268737793,-0.46,0.88,-0.35,1.05
0.8695659637451172,-0.59,0.79,-0.2,1.0
0.8807888031005859,-0.65,0.66,0.03,0.92
0.8907260894775391,-0.55,0.53,0.16,0.78
0.9018421173095703,-0.27,0.39,0.36,0.59
0.9098589420318604,0.03,0.28,0.78,0.82
0.9197978973388672,0.22,0.13,1.32,1.34
0.9313068389892578,0.29,0.03,2.04,2.06
0.9409217834472656,0.29,-0.12,2.81,2.82
0.9518139362335205,0.25,-0.35,3.27,3.29
0.9600479602813721,0.22,-0.63,3.22,3.28
0.9702639579772949,0.1,-0.91,2.68,2.83
0.9816927909851074,-0.12,-0.99,1.56,1.85
0.9914000034332275,-0.42,-0.9,0.3,1.03
1.0005769729614258,-0.7,-0.79,-0.79,1.31
1.0104880332946777,-0.93,-0.7,-1.71,2.06
1.0206758975982666,-1.09,-0.63,-2.26,2.58
1.0318629741668701,-1.16,-0.53,-2.45,2.76
1.042057991027832,-1.2,-0.44,-2.4,2.71
1.0508840084075928,-1.15,-0.43,-2.14,2.46
1.0610029697418213,-0.95,-0.42,-1.65,1.94
1.07145094871521,-0.56,-0.45,-0.79,1.06
1.0822539329528809,-0.2,-0.56,0.23,0.63
1.0922508239746094,0.13,-0.74,1.28,1.48
1.1013219356536865,0.38,-0.94,2.2,2.42
1.111504077911377,0.48,-1.2,2.75,3.03
1.1218459606170654,0.37,-1.49,2.9,3.28
1.1331720352172852,0.08,-1.78,2.58,3.13
1.1429049968719482,-0.33,-1.95,1.76,2.64
1.15195894241333,-0.63,-1.92,0.78,2.16
1.1620769500732422,-0.82,-1.81,-0.21,1.99
1.1722798347473145,-0.91,-1.63,-1.19,2.21
1.1834640502929688,-0.92,-1.4,-1.86,2.5
1.1932687759399414,-0.86,-1.13,-2.23,2.64
1.2021899223327637,-0.74,-0.81,-2.4,2.63
1.212428092956543,-0.62,-0.54,-2.44,2.57
1.2221848964691162,-0.6,-0.31,-2.44,2.53
1.234419822692871,-0.6,-0.14,-2.3,2.38
1.243494987487793,-0.65,-0.06,-2.01,2.11
1.2526330947875977,-0.72,-0.16,-1.61,1.77
1.2626938819885254,-0.73,-0.39,-1.12,1.39
1.2728099822998047,-0.76,-0.58,-0.69,1.17
1.284186840057373,-0.77,-0.65,-0.44,1.09
1.2942149639129639,-0.7,-0.59,-0.19,0.93
1.303049087524414,-0.57,-0.42,0.04,0.7
1.3132119178771973,-0.42,-0.24,0.22,0.53
1.323241949081421,-0.32,-0.05,0.37,0.49
1.3352429866790771,-0.25,0.14,0.49,0.56
1.3444509506225586,-0.22,0.32,0.56,0.68
1.3537569046020508,-0.26,0.39,0.48,0.67
1.3636088371276855,-0.4,0.32,0.26,0.57
1.3738551139831543,-0.61,0.22,-0.16,0.66
1.3850030899047852,-0.79,0.21,-0.51,0.96
1.3950788974761963,-0.88,0.26,-0.7,1.15
1.403836965560913,-0.88,0.32,-0.66,1.14
1.4140079021453857,-0.74,0.4,-0.46,0.95
1.4241790771484375,-0.59,0.49,-0.09,0.77
1.436095952987671,-0.41,0.54,0.21,0.7
1.445281982421875,-0.26,0.59,0.42,0.76
1.4596400260925293,-0.08,0.61,0.58,0.84
1.4645500183105469,0.04,0.53,0.6,0.8
1.4747700691223145,0.07,0.36,0.52,0.63
1.4860730171203613,0.04,0.2,0.44,0.48
1.495945930480957,0.01,0.13,0.47,0.48
1.5102019309997559,-0.06,0.17,0.53,0.55
1.5150151252746582,-0.21,0.3,0.63,0.72
1.5251469612121582,-0.38,0.54,0.61,0.89
1.5374360084533691,-0.41,0.7,0.27,0.85
1.546334981918335,-0.27,0.69,-0.04,0.74
1.5605859756469727,-0.08,0.6,-0.12,0.61
1.565234899520874,0.06,0.57,-0.05,0.57
1.5754508972167969,0.25,0.54,0.3,0.66
1.5866479873657227,0.5,0.51,0.93,1.17
1.5966510772705078,0.74,0.44,1.61,1.82
1.6104040145874023,0.9,0.33,2.17,2.37
1.6155290603637695,0.97,0.18,2.52,2.7
1.625675916671753,0.89,-0.01,2.68,2.82
1.637056827545166,0.69,-0.2,2.65,2.74
1.6470308303833008,0.32,-0.39,2.42,2.47
1.6604909896850586,-0.05,-0.63,2.04,2.13
1.6660850048065186,-0.37,-0.86,1.6,1.85
1.6762549877166748,-0.63,-1.03,1.14,1.66
1.6880249977111816,-0.83,-1.16,0.62,1.55
1.6973109245300293,-0.95,-1.18,0.01,1.51
1.7104358673095703,-0.97,-1.13,-0.53,1.58
1.7164700031280518,-0.84,-0.99,-0.98,1.62
1.726613998413086,-0.63,-0.78,-1.29,1.63
1.7382960319519043,-0.31,-0.56,-1.31,1.45
1.7477149963378906,0.09,-0.45,-1.15,1.23
1.7602930068969727,0.52,-0.39,-0.77,1.0
1.7667529582977295,0.86,-0.36,-0.43,1.02
1.7768950462341309,1.08,-0.38,-0.11,1.15
1.7889289855957031,1.25,-0.49,0.17,1.35
1.7981657981872559,1.28,-0.63,0.37,1.47
1.8103718757629395,1.23,-0.77,0.51,1.53
1.817284107208252,1.05,-0.93,0.54,1.5
1.8275039196014404,0.82,-1.08,0.37,1.4
1.83925199508667,0.58,-1.2,0.13,1.33
1.8485078811645508,0.33,-1.27,-0.08,1.31
1.8602519035339355,0.17,-1.35,-0.22,1.37
1.8677878379821777,0.09,-1.38,-0.3,1.41
1.8778259754180908,0.06,-1.33,-0.39,1.38
1.8896219730377197,0.09,-1.21,-0.4,1.27
1.8991320133209229,0.15,-1.12,-0.44,1.21
1.9103550910949707,0.27,-1.01,-0.56,1.18
1.917984962463379,0.34,-0.9,-0.76,1.22
1.9283039569854736,0.4,-0.73,-1.0,1.3
1.9399480819702148,0.48,-0.57,-1.24,1.44
1.9493398666381836,0.54,-0.41,-1.45,1.6
1.9605309963226318,0.57,-0.29,-1.6,1.72
1.968419075012207,0.6,-0.17,-1.69,1.8
1.978698968887329,0.62,-0.04,-1.64,1.75
1.990203857421875,0.66,0.09,-1.46,1.6
2.000030040740967,0.74,0.16,-1.2,1.41
2.010383129119873,0.81,0.12,-0.88,1.2
2.0189709663391113,0.85,0.05,-0.58,1.03
2.0298118591308594,0.82,0.05,-0.41,0.91
2.0402469635009766,0.79,0.07,-0.35,0.86
2.0501317977905273,0.69,0.09,-0.32,0.76
2.06010103225708,0.57,0.04,-0.35,0.67
2.0693469047546387,0.45,0.02,-0.43,0.62
2.0794379711151123,0.36,0.07,-0.49,0.61
2.090667963027954,0.31,0.14,-0.51,0.61
2.1005148887634277,0.31,0.21,-0.45,0.58
2.1103599071502686,0.36,0.29,-0.38,0.59
2.119694948196411,0.38,0.36,-0.37,0.64
2.1307268142700195,0.4,0.45,-0.38,0.71
2.141244888305664,0.37,0.51,-0.45,0.77
2.1510348320007324,0.33,0.56,-0.54,0.84
2.1608309745788574,0.31,0.67,-0.65,0.98
2.170161008834839,0.29,0.77,-0.69,1.07
2.180414915084839,0.3,0.84,-0.68,1.12
2.1917009353637695,0.31,0.93,-0.62,1.15
2.201694965362549,0.32,1.03,-0.53,1.2
2.211635112762451,0.33,1.08,-0.45,1.21
2.2203989028930664,0.33,1.14,-0.45,1.26
2.23146390914917,0.32,1.2,-0.52,1.34
2.242036819458008,0.31,1.28,-0.52,1.41
2.251668930053711,0.31,1.32,-0.52,1.45
2.2615649700164795,0.24,1.32,-0.5,1.43
2.27136492729187,0.2,1.28,-0.42,1.36
2.281167984008789,0.17,1.22,-0.33,1.27
2.292367935180664,0.18,1.22,-0.16,1.24
2.3023769855499268,0.19,1.25,0.06,1.26
2.312899112701416,0.21,1.21,0.31,1.26
2.3217380046844482,0.23,1.12,0.53,1.26
2.3323090076446533,0.25,1.0,0.67,1.22
2.3427889347076416,0.25,0.86,0.68,1.12
2.352855920791626,0.23,0.79,0.65,1.04
2.3632588386535645,0.25,0.75,0.56,0.96
2.372196912765503,0.28,0.78,0.5,0.96
2.382035970687866,0.23,0.85,0.46,0.99
2.393251895904541,0.1,0.96,0.37,1.03
2.4031479358673096,-0.06,1.13,0.12,1.13
2.4134209156036377,-0.12,1.16,-0.1,1.17
2.4223270416259766,-0.14,1.12,-0.16,1.14
2.4323978424072266,-0.11,1.04,-0.22,1.06
2.443741798400879,-0.02,0.94,-0.16,0.95
2.453486919403076,0.2,0.86,0.13,0.89
2.4635000228881836,0.53,0.76,0.74,1.18
2.4724109172821045,0.81,0.65,1.47,1.79
2.482820987701416,0.9,0.52,2.24,2.46
2.4938929080963135,0.85,0.31,2.97,3.1
2.5039010047912598,0.77,0.01,3.49,3.57
2.5133118629455566,0.64,-0.38,3.7,3.77
2.522825002670288,0.43,-0.75,3.51,3.61
2.533050060272217,0.13,-1.1,2.98,3.17
2.5443930625915527,-0.12,-1.31,2.15,2.52
2.5541820526123047,-0.26,-1.27,1.21,1.77
2.5638561248779297,-0.37,-1.12,0.35,1.23
2.5733249187469482,-0.5,-1.0,-0.45,1.2
2.583517074584961,-0.67,-0.88,-1.27,1.68
2.594815969467163,-0.84,-0.7,-2.0,2.27
2.6049699783325195,-1.01,-0.48,-2.61,2.83
2.6137471199035645,-1.16,-0.27,-2.97,3.19
2.6268699169158936,-1.23,-0.11,-3.06,3.29
2.633903980255127,-1.24,-0.05,-2.85,3.1
2.6451520919799805,-1.2,-0.14,-2.25,2.55
2.655308961868286,-1.03,-0.33,-1.34,1.72
2.6641998291015625,-0.81,-0.57,-0.48,1.1
2.6769890785217285,-0.62,-0.74,0.28,1.0
2.684372901916504,-0.38,-0.78,1.03,1.34
2.695733070373535,-0.08,-0.73,1.95,2.08
2.706017017364502,0.16,-0.74,2.84,2.93
2.714669942855835,0.24,-0.89,3.41,3.53
2.7270569801330566,0.15,-1.13,3.56,3.73
2.7348129749298096,-0.14,-1.36,3.18,3.46
2.7461609840393066,-0.56,-1.54,2.19,2.73
2.7564148902893066,-0.84,-1.56,1.08,2.07
2.765249013900757,-1.02,-1.54,0.12,1.85
2.7773990631103516,-1.17,-1.48,-0.74,2.02
2.7852158546447754,-1.25,-1.32,-1.39,2.28
2.7964630126953125,-1.31,-1.13,-1.87,2.54
2.8066368103027344,-1.3,-0.89,-2.15,2.66
2.8154759407043457,-1.29,-0.69,-2.19,2.63
2.828042984008789,-1.27,-0.57,-2.13,2.54
2.835556983947754,-1.22,-0.53,-2.04,2.43
2.847074031829834,-1.17,-0.47,-1.83,2.22
2.856745958328247,-1.14,-0.42,-1.46,1.89
