time,ax,ay,az,atotal
0.012296915054321289,-0.15,-0.23,-0.4,0.48
0.013911008834838867,-0.2,-0.31,-0.2,0.41
0.019496917724609375,-0.15,-0.29,-0.02,0.32
0.0210418701171875,0.01,-0.14,0.06,0.15
0.022572994232177734,0.09,0.02,-0.03,0.09
0.025886058807373047,0.08,0.12,-0.18,0.23
0.027414798736572266,0.03,0.13,-0.31,0.33
0.03349590301513672,0.0,0.07,-0.33,0.33
0.034986019134521484,0.05,0.05,-0.32,0.32
0.03652596473693848,0.03,0.02,-0.37,0.37
0.04075908660888672,-0.06,-0.07,-0.47,0.47
0.042283058166503906,-0.05,-0.09,-0.64,0.64
0.047636985778808594,-0.41,0.18,-0.02,0.44
0.052989959716796875,-0.34,-0.13,0.45,0.57
0.05450582504272461,-0.09,-0.34,0.51,0.61
0.05779409408569336,-0.21,-0.29,0.4,0.53
0.05931711196899414,-0.37,-0.25,0.08,0.45
0.06442689895629883,-0.39,-0.39,-0.62,0.82
0.06629085540771484,-0.53,0.04,-0.81,0.96
0.0678110122680664,-0.46,0.36,-0.57,0.81
0.07195901870727539,-0.21,0.33,-0.46,0.6
0.07347393035888672,-0.15,0.35,-0.3,0.48
0.07857298851013184,-0.3,0.26,0.15,0.42
0.08009696006774902,-0.42,0.02,0.49,0.64
0.08160400390625,-0.49,-0.13,0.67,0.84
0.08857393264770508,-0.49,-0.23,0.63,0.83
0.09000778198242188,-0.59,-0.38,0.3,0.76
0.09511995315551758,-0.56,-0.25,-0.11,0.62
0.09664487838745117,-0.55,-0.03,-0.34,0.64
0.09815096855163574,-0.56,0.04,-0.64,0.85
0.10265398025512695,-0.45,-0.04,-0.84,0.95
0.10415887832641602,-0.42,-0.12,-0.86,0.96
0.1092829704284668,-0.8,0.03,-0.07,0.8
0.11078786849975586,-0.7,-0.32,0.33,0.83
0.11230707168579102,-0.34,-0.48,0.44,0.73
0.11934590339660645,-0.27,-0.44,0.59,0.78
0.12088489532470703,-0.33,-0.35,0.42,0.63
0.12604188919067383,-0.26,-0.23,0.01,0.34
0.1275629997253418,-0.12,-0.02,-0.38,0.39
0.12906098365783691,-0.04,-0.09,-0.73,0.73
0.1373600959777832,-0.17,0.03,-0.58,0.6
0.13886189460754395,-0.24,0.03,-0.01,0.24
0.14390993118286133,-0.02,-0.27,0.2,0.33
0.14542293548583984,-0.03,-0.35,0.29,0.45
0.14693880081176758,-0.14,-0.43,0.34,0.56
0.15056610107421875,-0.17,-0.42,0.2,0.49
0.15208697319030762,-0.11,-0.33,-0.04,0.35
0.15723299980163574,-0.02,-0.12,-0.28,0.3
0.15877008438110352,0.17,-0.14,-0.67,0.7
0.16033101081848145,0.27,0.09,-1.03,1.06
0.16452312469482422,0.12,0.5,-0.68,0.85
0.16980504989624023,0.2,0.46,-0.25,0.56
0.17503595352172852,0.44,0.4,0.09,0.6
0.17659807205200195,0.68,0.38,0.35,0.85
0.17810678482055664,0.78,0.21,0.4,0.9
