time,ax,ay,az,atotal
0.007969856262207031,0.95,-0.47,0.49,1.16
0.016351699829101562,0.78,-0.49,-0.39,1.0
0.026257991790771484,-0.12,-0.28,-1.66,1.68
0.03859376907348633,-0.8,-0.15,-2.37,2.5
0.045984745025634766,-0.85,-0.11,-2.41,2.55
0.05525970458984375,-0.59,0.0,-2.11,2.19
0.06733083724975586,-0.25,0.05,-1.73,1.74
0.07655000686645508,0.04,0.11,-1.41,1.41
0.08808183670043945,0.2,0.11,-1.1,1.12
0.09572482109069824,0.23,0.12,-0.68,0.72
0.10600996017456055,0.22,0.14,-0.29,0.39
0.11779499053955078,0.28,0.31,-0.48,0.63
0.12713980674743652,0.47,0.22,-0.83,0.97
0.13808584213256836,0.31,-0.31,-0.81,0.92
0.14614582061767578,-0.1,-0.19,-0.91,0.93
0.15625476837158203,-0.41,-0.06,-0.89,0.98
0.16817188262939453,-0.63,-0.1,-0.75,0.98
0.17765474319458008,-0.7,-0.17,-0.79,1.06
0.18798089027404785,-0.46,-0.25,-1.07,1.19
0.19643282890319824,-0.03,-0.6,-1.24,1.37
0.20674991607666016,0.19,-1.14,-1.26,1.7
0.21855401992797852,0.37,-1.16,-1.25,1.74
0.22788667678833008,0.43,-0.93,-1.07,1.48
0.23833084106445312,0.35,-0.61,-0.8,1.06
0.24692296981811523,0.11,-0.35,-0.73,0.81
0.2571868896484375,-0.19,-0.4,-1.02,1.11
0.2690238952636719,-0.47,-0.59,-1.39,1.58
0.27833080291748047,-0.75,-0.75,-1.71,2.01
0.2880408763885498,-1.07,-0.89,-1.96,2.4
0.29732799530029297,-1.26,-1.12,-2.25,2.81
0.3075418472290039,-1.11,-1.41,-1.77,2.52
0.31943678855895996,-0.25,-1.19,1.22,1.72
0.3288228511810303,0.17,-1.62,1.85,2.46
0.33809995651245117,-0.31,-2.38,-0.6,2.47
0.34778499603271484,-0.85,-2.03,-1.89,2.9
0.3578639030456543,-1.52,-1.44,-2.64,3.36
0.36940670013427734,-2.1,-1.02,-3.44,4.15
0.3790907859802246,-2.6,-0.69,-4.13,4.92
