time,ax,ay,az,atotal
0.008613109588623047,-0.37,-0.46,-0.53,0.79
0.018890857696533203,-0.37,0.32,-0.33,0.59
0.04251909255981445,-0.1,0.35,-0.05,0.36
0.04339313507080078,0.11,-0.14,-0.09,0.19
0.04846501350402832,0.08,-0.23,0.08,0.25
0.058630943298339844,-0.1,0.05,0.22,0.24
0.06862401962280273,-0.07,0.16,0.07,0.18
0.0787200927734375,0.14,0.11,-0.08,0.19
0.08877086639404297,0.18,0.09,0.06,0.21
0.09945392608642578,0.06,0.08,0.06,0.11
0.10919499397277832,-0.1,0.11,-0.06,0.16
0.11925005912780762,-0.15,0.16,-0.05,0.22
0.14365911483764648,-0.08,0.16,-0.03,0.18
0.1447758674621582,-0.01,0.06,-0.02,0.06
0.14895105361938477,0.02,0.02,0.03,0.04
0.16005206108093262,-0.01,0.06,0.05,0.07
0.16898202896118164,-0.04,0.06,-0.01,0.07
0.17993903160095215,-0.06,0.03,-0.02,0.06
0.1894550323486328,-0.07,0.0,-0.01,0.07
0.19978713989257812,-0.08,-0.05,-0.03,0.09
0.20928096771240234,-0.16,-0.05,-0.04,0.17
0.22054386138916016,-0.2,-0.05,-0.03,0.2
0.24471712112426758,-0.19,-0.07,-0.06,0.21
0.24587297439575195,-0.18,-0.09,-0.07,0.21
0.24905014038085938,-0.16,-0.08,-0.04,0.18
0.2596168518066406,-0.17,-0.08,-0.06,0.19
0.26915693283081055,-0.22,-0.11,-0.11,0.26
0.2799110412597656,-0.29,-0.11,-0.14,0.34
0.2896308898925781,-0.34,-0.1,-0.14,0.38
0.2999889850616455,-0.35,-0.11,-0.16,0.4
0.3096580505371094,-0.36,-0.11,-0.22,0.43
0.3209538459777832,-0.34,-0.18,-0.22,0.44
0.3444638252258301,-0.35,-0.11,-0.28,0.46
0.3456599712371826,-0.3,0.08,-0.2,0.36
0.3492751121520996,-0.27,0.16,-0.13,0.33
0.36037492752075195,-0.19,0.2,-0.13,0.3
0.36939287185668945,0.01,0.26,-0.01,0.26
0.3801431655883789,0.25,0.28,0.15,0.4
0.38993000984191895,0.4,0.25,0.22,0.52
0.3997020721435547,0.39,0.22,0.21,0.49
0.4100179672241211,0.29,0.18,0.15,0.37
0.4216461181640625,0.15,0.11,0.05,0.19
0.44411516189575195,-0.07,-0.06,-0.09,0.12
0.4453158378601074,-0.29,-0.1,-0.31,0.43
0.44956207275390625,-0.38,-0.04,-0.4,0.55
0.45963287353515625,-0.48,-0.04,-0.48,0.68
0.4705390930175781,-0.64,-0.13,-0.63,0.9
0.47962498664855957,-0.73,-0.16,-0.68,1.01
0.4896731376647949,-0.7,-0.06,-0.6,0.92
0.5002820491790771,-0.52,0.06,-0.38,0.64
0.5097098350524902,-0.27,0.14,-0.22,0.37
0.5216798782348633,-0.12,0.12,-0.19,0.25
0.5433259010314941,0.0,0.02,-0.11,0.11
0.5441989898681641,0.08,-0.11,0.02,0.13
0.5500919818878174,0.01,-0.22,0.07,0.23
0.560359001159668,-0.16,-0.31,-0.09,0.36
0.5710170269012451,-0.39,-0.33,-0.34,0.61
0.5807960033416748,-0.56,-0.32,-0.46,0.79
0.5908620357513428,-0.7,-0.31,-0.66,1.01
0.6005170345306396,-0.55,-0.24,-0.59,0.84
0.6106700897216797,-0.56,-0.14,-0.11,0.58
0.6220190525054932,-0.7,0.32,-0.08,0.77
0.644050121307373,-0.24,0.55,0.15,0.61
0.644927978515625,0.52,0.55,0.56,0.94
0.6498479843139648,1.23,0.66,1.08,1.76
0.660071849822998,1.75,0.78,1.49,2.42
0.6713769435882568,2.28,0.79,1.69,2.94
0.680063009262085,2.52,0.69,1.64,3.08
0.6906609535217285,2.38,0.64,1.36,2.81
0.7003870010375977,2.02,0.62,1.02,2.34
0.7106318473815918,1.54,0.55,0.72,1.78
0.7219901084899902,0.75,0.34,0.26,0.86
0.7440750598907471,-0.18,0.03,-0.29,0.34
0.7449789047241211,-1.0,-0.22,-0.66,1.21
0.7503499984741211,-1.53,-0.34,-0.86,1.78
0.7602100372314453,-1.79,-0.37,-0.92,2.04
0.7718789577484131,-1.69,-0.39,-0.83,1.92
0.7801740169525146,-1.29,-0.37,-0.76,1.54
0.7902030944824219,-0.83,-0.28,-0.72,1.13
0.8009059429168701,-0.54,-0.15,-0.68,0.88
0.8108391761779785,-0.42,-0.09,-0.6,0.73
0.8230738639831543,-0.46,-0.08,-0.58,0.74
0.844019889831543,-0.45,-0.07,-0.43,0.62
0.845221996307373,-0.5,0.01,-0.3,0.58
0.8503830432891846,-0.45,0.0,-0.14,0.47
0.8609969615936279,-0.22,-0.05,0.03,0.22
0.872154951095581,0.09,-0.02,0.29,0.3
0.8812260627746582,0.39,0.08,0.39,0.55
0.8906259536743164,0.53,0.18,0.37,0.67
0.9003829956054688,0.56,0.26,0.32,0.69
0.9110908508300781,0.58,0.31,0.26,0.7
0.9207859039306641,0.61,0.31,0.3,0.74
0.9435491561889648,0.59,0.28,0.4,0.76
0.9447178840637207,0.5,0.2,0.44,0.69
0.9505748748779297,0.33,0.09,0.42,0.54
0.9612350463867188,0.19,0.01,0.33,0.38
0.9706439971923828,0.11,0.02,0.3,0.32
0.9823329448699951,0.08,0.06,0.26,0.27
0.9910039901733398,0.07,0.06,0.14,0.16
1.001345157623291,0.05,0.07,-0.01,0.08
1.0111949443817139,0.05,0.08,-0.08,0.12
1.021256923675537,0.07,0.08,-0.14,0.17
1.0452251434326172,0.05,0.09,-0.16,0.19
1.046422004699707,-0.04,0.06,-0.21,0.22
1.0507678985595703,-0.18,-0.04,-0.25,0.31
1.0608570575714111,-0.36,-0.12,-0.23,0.44
1.0722730159759521,-0.49,-0.15,-0.18,0.54
1.0814571380615234,-0.46,-0.11,-0.07,0.47
1.091196060180664,-0.29,-0.09,0.08,0.31
1.1017608642578125,-0.13,-0.1,0.23,0.28
1.1116199493408203,0.0,-0.12,0.28,0.3
1.1214008331298828,0.28,-0.15,-0.04,0.32
1.1470739841461182,0.66,-0.29,0.37,0.81
1.1482748985290527,0.28,-0.16,0.15,0.35
1.1513428688049316,-0.19,0.23,0.09,0.31
1.1612310409545898,-0.41,0.36,0.01,0.54
1.1712708473205566,-0.37,0.2,-0.18,0.45
1.1810870170593262,-0.2,0.01,-0.29,0.35
1.1912250518798828,-0.12,0.03,-0.04,0.13
1.2017600536346436,-0.12,0.21,0.21,0.32
1.2116608619689941,0.09,0.27,0.32,0.42
1.221647024154663,0.43,0.23,0.32,0.58
1.2463269233703613,0.65,0.24,0.28,0.74
1.2475061416625977,0.78,0.29,0.22,0.86
1.2512121200561523,0.84,0.31,0.16,0.9
1.2618520259857178,0.72,0.34,0.1,0.8
1.2729449272155762,0.44,0.35,-0.03,0.56
1.2822251319885254,0.17,0.32,-0.06,0.36
1.2923200130462646,0.0,0.26,0.04,0.26
1.3020100593566895,-0.02,0.15,0.24,0.28
1.3121299743652344,0.12,-0.02,0.43,0.44
1.3217289447784424,0.26,-0.18,0.5,0.59
1.3458008766174316,0.29,-0.25,0.47,0.6
1.3469958305358887,0.25,-0.22,0.41,0.52
1.3513779640197754,0.17,-0.24,0.34,0.44
1.3615059852600098,-0.02,-0.31,0.22,0.38
1.3717000484466553,-0.24,-0.36,0.16,0.46
1.3824360370635986,-0.41,-0.41,0.11,0.59
1.3927860260009766,-0.46,-0.45,0.06,0.64
1.4020700454711914,-0.45,-0.4,0.08,0.6
1.4124469757080078,-0.41,-0.27,0.04,0.49
1.4225120544433594,-0.36,-0.15,-0.01,0.39
1.445986032485962,-0.22,-0.06,-0.03,0.23
1.4471640586853027,-0.08,-0.01,-0.06,0.1
1.4515938758850098,0.0,0.04,-0.08,0.08
1.4616670608520508,0.01,0.13,-0.12,0.17
1.4717979431152344,-0.03,0.18,-0.16,0.24
1.4822478294372559,-0.1,0.21,-0.25,0.34
1.4919240474700928,-0.2,0.22,-0.31,0.42
1.5026569366455078,-0.26,0.19,-0.36,0.48
1.5123028755187988,-0.29,0.17,-0.37,0.49
1.521949052810669,-0.3,0.17,-0.31,0.46
1.5398190021514893,-0.28,0.14,-0.26,0.4
1.5477981567382812,-0.24,0.06,-0.2,0.31
1.551833152770996,-0.21,0.03,-0.12,0.24
1.5623221397399902,-0.19,0.05,0.01,0.19
1.5730018615722656,-0.07,0.02,0.11,0.13
1.5827088356018066,0.04,-0.05,0.19,0.2
1.592885971069336,0.12,-0.1,0.28,0.32
1.6027090549468994,0.15,-0.12,0.35,0.39
1.6127581596374512,0.15,-0.14,0.38,0.43
1.6225800514221191,0.11,-0.19,0.42,0.47
1.6395511627197266,0.06,-0.21,0.43,0.48
1.646975040435791,0.07,-0.23,0.44,0.5
1.651960849761963,0.07,-0.24,0.42,0.48
1.662168025970459,0.08,-0.23,0.38,0.45
1.672666072845459,0.05,-0.17,0.33,0.37
1.6833930015563965,-0.01,-0.1,0.28,0.29
1.6935479640960693,-0.01,-0.05,0.22,0.22
1.7026948928833008,0.02,-0.03,0.16,0.16
1.7128000259399414,0.06,-0.01,0.12,0.13
1.7225010395050049,0.09,-0.01,0.07,0.11
1.7394819259643555,0.07,-0.01,0.03,0.07
1.7470910549163818,0.02,0.03,-0.01,0.03
