time,ax,ay,az,atotal
0.012969970703125,1.92,-0.23,2.9,3.48
0.01621699333190918,1.78,-0.51,1.62,2.46
0.02710700035095215,1.12,-0.51,0.45,1.31
0.03577303886413574,0.25,-0.45,-0.32,0.6
0.04570293426513672,-0.55,-0.29,-0.83,1.03
0.05739998817443848,-0.88,-0.17,-1.07,1.39
0.06564998626708984,-0.45,-0.04,-1.07,1.16
0.07759404182434082,0.2,-0.12,-0.93,0.95
0.08585500717163086,0.45,-0.26,-0.67,0.84
0.09598207473754883,1.0,-0.06,0.05,1.0
0.1078181266784668,1.37,0.03,0.71,1.54
0.1161041259765625,0.94,0.0,1.05,1.4
0.1278390884399414,0.3,-0.13,0.65,0.72
0.13617706298828125,-0.37,-0.09,-0.07,0.38
0.14618706703186035,-0.63,0.06,-0.5,0.8
0.158128023147583,-0.21,0.1,-1.05,1.07
0.16629791259765625,0.53,-0.09,-0.88,1.03
0.1784381866455078,1.1,-0.29,-0.43,1.21
0.1863079071044922,0.68,-0.17,0.22,0.73
0.19658708572387695,0.11,-0.12,1.08,1.09
0.20827913284301758,-0.68,-0.26,0.5,0.88
0.21653509140014648,-1.26,-0.12,0.13,1.27
0.22817516326904297,-1.15,0.11,0.17,1.16
0.23648309707641602,-0.8,0.16,0.4,0.9
0.2465040683746338,-0.19,0.25,0.46,0.55
0.2584571838378906,0.32,0.22,0.43,0.57
0.26663708686828613,0.37,0.06,0.55,0.66
0.27878499031066895,0.33,0.07,0.62,0.7
0.2867259979248047,0.34,0.17,0.3,0.48
0.29681396484375,-0.04,0.14,0.15,0.2
0.30904507637023926,-0.79,0.07,0.27,0.83
0.31695985794067383,-1.37,0.2,0.02,1.38
0.3288998603820801,-1.26,0.28,-0.83,1.53
0.3371009826660156,-0.61,0.13,-1.49,1.61
0.3470020294189453,-0.2,-0.12,-1.13,1.15
0.3592061996459961,0.12,-0.13,-0.13,0.21
0.36710500717163086,0.41,-0.04,0.7,0.81
0.37939000129699707,0.52,-0.09,1.02,1.14
0.3871450424194336,0.38,-0.11,0.87,0.95
0.397305965423584,-0.01,-0.08,0.53,0.53
0.4093320369720459,-0.41,-0.08,-0.09,0.42
0.41728901863098145,-0.63,-0.11,-0.64,0.9
0.42963504791259766,-0.32,-0.11,-1.01,1.06
0.43730688095092773,0.23,-0.11,-1.15,1.17
0.44741106033325195,0.5,-0.15,-0.44,0.68
0.4597148895263672,0.73,-0.21,0.39,0.85
0.46912503242492676,0.61,-0.24,-0.07,0.65
0.47997617721557617,0.17,0.11,-0.72,0.74
0.48757100105285645,-0.14,0.27,-0.86,0.91
0.4976930618286133,-0.31,0.18,-0.9,0.96
0.5099689960479736,-0.36,-0.03,-0.22,0.42
0.5177550315856934,-0.25,-0.2,0.67,0.74
0.5301940441131592,0.01,-0.12,1.16,1.16
0.5379109382629395,0.11,0.04,1.96,1.96
0.5479321479797363,0.27,0.18,1.89,1.91
0.5602490901947021,0.71,0.05,0.11,0.72
0.5682668685913086,0.61,0.18,-1.8,1.9
0.5805079936981201,0.1,0.36,-2.28,2.31
0.588280200958252,-0.57,0.51,-1.95,2.09
0.598228931427002,-0.94,0.61,-1.31,1.72
0.6103150844573975,-0.92,0.3,-1.35,1.66
0.6183261871337891,0.08,-0.43,-2.25,2.29
0.6301751136779785,2.13,-0.54,-4.25,4.78
0.6384191513061523,2.67,0.05,-2.25,3.49
0.6483690738677979,2.29,0.11,1.04,2.51
0.6599578857421875,0.83,-0.56,3.92,4.04
0.6683599948883057,0.28,-0.89,4.66,4.75
0.6801509857177734,1.08,-0.66,3.73,3.93
0.6884021759033203,1.08,-0.2,2.39,2.63
0.6987061500549316,0.76,0.16,0.82,1.12
0.7101469039916992,0.73,0.24,-0.55,0.94
0.7187080383300781,0.69,0.4,-1.64,1.82
0.7303280830383301,0.47,0.49,-2.3,2.39
0.7388339042663574,0.73,0.24,-2.03,2.17
0.7487430572509766,1.17,-0.13,0.31,1.21
0.7603511810302734,1.22,0.12,3.0,3.24
0.7688078880310059,0.56,0.24,4.82,4.85
0.780426025390625,-1.16,-0.2,5.68,5.8
0.7889208793640137,-3.02,-0.16,3.97,4.99
0.7990131378173828,-2.3,0.93,-0.31,2.5
0.8104028701782227,-1.5,0.73,-2.87,3.31
0.8190841674804688,-2.81,-1.48,-0.9,3.3
0.8306231498718262,-4.77,-1.13,1.63,5.16
0.8391909599304199,-0.76,3.93,-1.57,4.29
0.8491091728210449,-2.42,0.36,0.29,2.46
0.8606472015380859,-2.45,-0.25,-0.86,2.6
0.8692560195922852,-0.92,-0.36,-1.46,1.76
0.8809728622436523,0.73,-0.76,-1.52,1.84
0.8893520832061768,2.22,-0.06,-1.42,2.63
0.8994178771972656,2.48,0.35,-1.37,2.85
0.9109511375427246,2.04,-0.15,-1.42,2.49
0.9194700717926025,1.53,-0.83,-0.43,1.79
0.9310970306396484,1.71,-1.03,1.06,2.26
0.9396381378173828,2.29,-0.77,0.76,2.53
0.9495639801025391,1.6,-0.5,-1.4,2.18
0.9613761901855469,0.1,-0.7,-2.12,2.23
0.9697480201721191,-0.94,-0.25,-1.74,1.99
0.9816379547119141,-1.22,0.32,-2.21,2.54
0.9897840023040771,-1.27,0.03,-1.81,2.21
0.9998588562011719,-1.45,-0.38,-0.12,1.5
1.0115630626678467,-1.56,-0.45,1.14,1.98
1.0199930667877197,-0.63,-0.25,0.8,1.04
1.0317192077636719,1.05,-0.21,-0.12,1.07
1.0400309562683105,2.29,0.23,-1.41,2.69
