time,ax,ay,az,atotal
0.007003068923950195,-0.13,0.08,0.27,0.31
0.018554210662841797,-0.26,-0.01,0.12,0.28
0.027133941650390625,-0.21,0.01,0.06,0.21
0.040830135345458984,-0.08,0.06,0.05,0.11
0.047245025634765625,0.04,0.04,0.0,0.05
0.05837512016296387,0.14,-0.02,-0.05,0.15
0.06911420822143555,0.2,-0.06,-0.04,0.21
0.07728290557861328,0.28,-0.09,-0.07,0.3
0.08767223358154297,0.34,-0.1,-0.1,0.36
0.09767508506774902,0.37,-0.03,-0.07,0.37
0.10796117782592773,0.21,0.03,-0.03,0.21
0.1194450855255127,-0.09,0.17,0.08,0.2
0.12856507301330566,-0.39,0.31,0.22,0.54
0.14157819747924805,-0.57,0.27,0.23,0.67
0.14730596542358398,-0.6,0.08,0.16,0.62
0.15736818313598633,-0.39,-0.02,0.16,0.42
0.16735601425170898,-0.11,-0.04,0.13,0.17
0.17746710777282715,0.17,-0.05,-0.03,0.17
0.1880810260772705,0.36,-0.02,-0.16,0.39
0.1979660987854004,0.39,-0.05,-0.2,0.44
0.20806121826171875,0.34,-0.07,-0.12,0.36
0.21819400787353516,0.18,-0.08,-0.02,0.19
0.23078298568725586,0.04,-0.03,0.07,0.08
0.2419581413269043,-0.07,0.07,0.1,0.14
0.24752211570739746,-0.11,0.12,0.03,0.16
0.257627010345459,-0.14,0.09,-0.08,0.18
0.2678952217102051,-0.14,0.17,-0.02,0.22
0.2775421142578125,-0.08,0.24,0.05,0.25
0.2881770133972168,0.0,0.16,-0.05,0.16
0.297853946685791,0.02,0.12,-0.07,0.14
0.30801916122436523,-0.08,0.14,0.03,0.16
0.317857027053833,-0.14,0.05,0.03,0.15
0.3296852111816406,-0.08,-0.08,-0.01,0.11
0.3422379493713379,0.03,-0.07,0.01,0.07
0.34770822525024414,0.05,0.03,0.05,0.07
0.35894203186035156,-0.03,0.06,0.03,0.07
0.3683052062988281,-0.14,0.06,0.04,0.15
0.3787240982055664,-0.25,0.05,0.08,0.26
0.3882150650024414,-0.36,0.03,0.12,0.38
0.3980369567871094,-0.4,0.05,0.17,0.43
0.4083070755004883,-0.36,0.14,0.2,0.43
0.41808104515075684,-0.28,0.19,0.16,0.37
0.429872989654541,-0.19,0.13,0.04,0.23
0.4426441192626953,-0.11,0.17,-0.03,0.2
0.44796109199523926,-0.01,0.2,-0.14,0.24
0.45816993713378906,0.11,0.14,-0.22,0.28
0.46816492080688477,0.25,0.09,-0.12,0.29
0.4788022041320801,0.3,-0.07,-0.1,0.32
0.4889202117919922,0.26,-0.18,-0.17,0.35
0.4987931251525879,0.32,-0.13,-0.11,0.36
0.5087940692901611,0.38,-0.03,0.03,0.38
0.5188870429992676,0.35,-0.02,0.07,0.35
0.5306792259216309,0.2,-0.04,0.09,0.22
0.5430679321289062,-0.03,-0.01,0.23,0.23
0.5482280254364014,-0.2,0.0,0.28,0.34
0.5587880611419678,-0.18,-0.13,0.11,0.24
0.5682690143585205,0.01,-0.17,0.01,0.17
0.5782489776611328,0.24,-0.07,0.05,0.25
0.5888462066650391,0.39,-0.04,-0.01,0.39
0.5985980033874512,0.42,-0.06,-0.08,0.43
0.6085882186889648,0.36,-0.06,-0.08,0.37
0.6185741424560547,0.26,-0.1,-0.1,0.29
0.6302111148834229,0.2,-0.14,-0.11,0.26
0.6434659957885742,0.18,-0.16,-0.05,0.24
0.6483690738677979,0.18,-0.15,0.04,0.23
0.659430980682373,0.13,-0.13,0.14,0.23
0.6690192222595215,0.03,-0.15,0.19,0.24
0.6786031723022461,-0.05,-0.14,0.15,0.21
0.6886692047119141,-0.11,-0.03,0.13,0.17
0.6992321014404297,-0.14,0.11,0.13,0.22
0.7090311050415039,-0.1,0.14,0.07,0.18
0.7185981273651123,-0.05,0.1,0.02,0.11
0.7305641174316406,-0.02,0.05,0.01,0.05
0.743920087814331,-0.01,-0.03,0.03,0.04
0.7485589981079102,-0.02,-0.15,0.03,0.15
0.7586941719055176,0.03,-0.25,0.04,0.25
0.7697360515594482,0.15,-0.36,0.1,0.4
0.7801332473754883,0.3,-0.47,0.13,0.57
0.7892401218414307,0.42,-0.54,0.16,0.7
0.79911208152771,0.5,-0.41,0.18,0.67
0.8093681335449219,0.53,0.09,0.34,0.63
0.8192400932312012,0.28,0.62,0.59,0.9
0.8311030864715576,-0.18,0.75,0.58,0.96
0.8442931175231934,-0.48,0.59,0.25,0.8
0.8489089012145996,-0.75,0.47,-0.12,0.89
0.8589391708374023,-1.13,0.38,-0.3,1.22
0.8699400424957275,-1.2,0.34,-0.24,1.27
0.8790531158447266,-0.75,0.27,-0.09,0.8
0.8895001411437988,-0.07,0.09,-0.08,0.13
0.8991520404815674,0.33,-0.06,-0.13,0.35
0.9094300270080566,0.56,-0.06,-0.08,0.56
0.9194211959838867,0.66,0.04,0.0,0.66
0.9309072494506836,0.58,0.14,0.09,0.6
0.9446630477905273,0.35,0.13,0.08,0.38
0.949073076248169,0.04,0.06,0.03,0.07
0.9590401649475098,-0.2,0.03,0.06,0.21
0.9701309204101562,-0.34,-0.01,0.17,0.38
0.9802420139312744,-0.41,-0.05,0.27,0.49
0.9890661239624023,-0.41,-0.1,0.3,0.51
1.000054121017456,-0.37,-0.17,0.29,0.49
1.0097379684448242,-0.31,-0.18,0.27,0.44
1.0193681716918945,-0.27,-0.06,0.3,0.4
1.0311610698699951,-0.28,0.08,0.3,0.41
1.045083999633789,-0.34,0.13,0.17,0.4
1.0493171215057373,-0.31,0.14,0.02,0.34
1.0593540668487549,-0.25,0.13,-0.1,0.29
1.0694561004638672,-0.15,0.14,-0.13,0.24
1.0794410705566406,0.01,0.06,-0.15,0.16
