time,ax,ay,az,atotal
0.03199505805969238,0.03,0.24,0.58,0.62
0.03298807144165039,0.19,0.22,0.77,0.82
0.033120155334472656,0.26,0.25,0.91,0.97
0.03569221496582031,0.28,0.27,0.98,1.05
0.04582405090332031,0.27,0.26,0.94,1.01
0.055834054946899414,0.37,0.26,0.8,0.91
0.06576204299926758,0.41,0.29,0.65,0.82
0.07537698745727539,0.33,0.31,0.52,0.68
0.08561205863952637,0.27,0.3,0.31,0.5
0.09533119201660156,0.26,0.27,0.07,0.38
0.10532522201538086,0.25,0.26,-0.14,0.38
0.1153411865234375,0.25,0.27,-0.33,0.49
0.1252751350402832,0.3,0.3,-0.48,0.64
0.1354999542236328,0.33,0.27,-0.6,0.73
0.14537906646728516,0.3,0.24,-0.65,0.75
0.15522098541259766,0.21,0.2,-0.69,0.74
0.1651759147644043,0.18,0.18,-0.69,0.73
0.17501592636108398,0.15,0.15,-0.66,0.69
0.18519806861877441,0.09,0.13,-0.6,0.62
0.19507408142089844,0.03,0.14,-0.49,0.51
0.20512604713439941,0.01,0.15,-0.42,0.44
0.21496915817260742,0.01,0.14,-0.37,0.39
0.22513103485107422,-0.05,0.09,-0.27,0.28
0.23506498336791992,-0.15,0.04,-0.17,0.23
0.24491405487060547,-0.2,0.01,-0.08,0.21
0.2549171447753906,-0.19,-0.01,0.01,0.19
0.26471424102783203,-0.24,-0.05,0.25,0.35
0.27483320236206055,-0.21,-0.11,0.41,0.47
0.2849411964416504,-0.03,-0.09,0.31,0.32
0.2950260639190674,0.03,-0.03,0.34,0.34
0.3050200939178467,0.01,-0.01,0.36,0.36
0.31494617462158203,-0.02,-0.01,0.28,0.28
0.3248581886291504,-0.03,0.01,0.14,0.14
0.3348050117492676,0.07,0.05,0.02,0.08
0.34507107734680176,0.26,0.15,-0.14,0.33
0.3550710678100586,0.46,0.29,-0.32,0.63
0.3650999069213867,0.53,0.46,-0.35,0.78
0.374920129776001,0.63,0.57,-0.39,0.93
0.38469409942626953,0.73,0.6,-0.45,1.04
0.3947129249572754,0.8,0.56,-0.46,1.07
0.40464210510253906,0.81,0.54,-0.42,1.06
0.4144721031188965,0.74,0.55,-0.38,0.99
0.4243950843811035,0.68,0.55,-0.36,0.94
0.4344019889831543,0.68,0.54,-0.33,0.92
0.44431304931640625,0.64,0.51,-0.31,0.87
0.45443010330200195,0.56,0.48,-0.27,0.78
0.4643402099609375,0.49,0.45,-0.23,0.7
0.47431206703186035,0.44,0.46,-0.21,0.67
0.48426198959350586,0.35,0.47,-0.19,0.61
0.4942150115966797,0.21,0.39,-0.17,0.47
