time,ax,ay,az,atotal
0.00925898551940918,0.51,1.03,0.13,1.15
0.019459009170532227,0.62,0.89,-1.23,1.63
0.03101491928100586,0.16,1.4,-1.31,1.92
0.04068803787231445,-0.41,1.09,-0.15,1.17
0.0494389533996582,-0.33,0.67,-0.5,0.89
0.059587955474853516,-0.18,1.17,-0.69,1.37
0.06982612609863281,-0.04,1.76,-0.03,1.76
0.08153581619262695,0.07,1.8,0.57,1.88
0.09120988845825195,0.26,1.46,1.03,1.8
0.10301995277404785,0.39,0.95,1.58,1.88
0.11011004447937012,0.47,0.66,1.85,2.01
0.12022781372070312,0.41,0.58,1.85,1.98
0.13178801536560059,0.3,0.56,1.96,2.06
0.1415081024169922,0.43,0.47,1.79,1.89
0.15326499938964844,0.45,0.37,1.12,1.26
0.1603860855102539,0.34,0.1,0.3,0.46
0.17061710357666016,-0.32,-0.46,-0.43,0.7
0.18222403526306152,-0.8,-0.54,-1.33,1.64
0.19194412231445312,-0.62,0.08,-2.13,2.21
0.20395708084106445,-0.49,0.92,-2.97,3.14
0.21095991134643555,-0.1,1.38,-2.92,3.23
0.2210860252380371,0.46,1.21,-1.81,2.22
0.2325148582458496,0.83,0.53,-0.52,1.11
0.24230504035949707,0.94,-0.28,0.65,1.17
0.2542281150817871,1.06,-0.83,1.43,1.96
0.2612748146057129,1.3,-1.06,1.27,2.1
0.27132081985473633,1.49,-1.36,1.09,2.29
0.2830080986022949,1.38,-1.58,1.1,2.36
0.2928481101989746,0.82,-1.66,1.29,2.25
0.3041880130767822,0.5,-1.36,0.98,1.74
0.3117499351501465,0.12,-0.71,0.83,1.09
0.3219008445739746,-0.19,-0.34,0.49,0.62
0.33391404151916504,-0.28,-0.39,-0.61,0.77
0.3431100845336914,-0.23,-0.89,-2.35,2.52
0.354215145111084,0.17,-1.49,-3.53,3.83
0.36342716217041016,0.79,-2.22,-3.25,4.01
0.3723759651184082,0.88,-2.49,-2.07,3.35
0.3842799663543701,0.01,-2.04,-0.45,2.08
0.3935120105743408,-1.7,-1.41,1.0,2.42
0.4044489860534668,-2.43,-1.37,1.93,3.39
0.4125349521636963,-1.35,-1.74,1.62,2.73
0.42264890670776367,-0.24,-1.94,0.36,1.98
0.43488001823425293,0.13,-1.72,-1.34,2.18
0.44390106201171875,-0.35,-1.07,-2.78,2.99
0.4545259475708008,-1.28,-0.41,-2.94,3.23
0.46404194831848145,-2.08,-0.32,-1.99,2.89
0.4731731414794922,-1.99,-0.76,-0.37,2.16
0.4853940010070801,-1.26,-1.25,1.16,2.12
0.49456787109375,-0.6,-1.56,2.49,2.99
0.5042209625244141,0.15,-1.59,2.5,2.96
0.5134520530700684,0.58,-1.24,1.32,1.9
0.523533821105957,0.42,-0.52,-0.22,0.7
0.5355620384216309,0.03,0.09,-1.33,1.33
0.5446209907531738,-0.28,0.26,-1.88,1.91
0.5545289516448975,-0.97,0.24,-1.78,2.04
0.564723014831543,-1.3,0.03,-1.23,1.78
0.5739560127258301,-0.91,-0.57,-0.63,1.24
0.5859379768371582,-1.08,-1.25,-0.07,1.65
0.5955820083618164,-1.58,-1.68,0.22,2.31
0.6054060459136963,-1.79,-1.89,-0.06,2.6
0.6142020225524902,-1.82,-2.08,-1.63,3.2
0.6244499683380127,-2.11,-2.8,-11.56,12.07
0.6363811492919922,-1.45,-2.05,-10.18,10.48
0.6454010009765625,-0.54,-2.52,-6.87,7.33
0.6547708511352539,0.36,-2.93,-2.53,3.88
0.665457010269165,1.74,-2.69,0.79,3.29
0.6747860908508301,2.62,-1.72,1.45,3.45
0.686424970626831,2.97,-0.35,0.84,3.1
0.6958808898925781,3.69,0.14,-0.38,3.71
0.7047610282897949,4.2,-0.41,-2.39,4.84
0.7148251533508301,4.06,-1.72,-2.63,5.13
0.7249078750610352,3.66,-3.23,-2.94,5.69
0.7362098693847656,3.75,-4.28,-3.95,6.92
0.7461528778076172,4.07,-5.46,-5.03,8.46
0.7552640438079834,4.1,-6.07,-6.29,9.65
0.7652709484100342,5.08,-5.36,-7.63,10.61
0.775393009185791,5.53,-5.13,-7.57,10.68
0.7871408462524414,5.36,-5.71,-6.06,9.9
0.7968320846557617,5.3,-6.12,-3.84,8.96
0.8060979843139648,4.92,-6.52,-2.04,8.41
0.8158290386199951,4.37,-6.76,-0.55,8.06
0.8258650302886963,3.07,-7.43,1.2,8.12
0.8374660015106201,1.59,-7.74,1.53,8.04
0.8471119403839111,1.28,-6.49,1.14,6.71
0.8562009334564209,1.7,-4.9,1.07,5.29
0.8661608695983887,1.94,-3.86,0.99,4.43
0.8763551712036133,1.76,-3.8,1.86,4.58
0.8878819942474365,1.02,-4.06,2.97,5.13
0.8974759578704834,-0.06,-3.87,3.74,5.38
0.9064610004425049,-1.28,-3.67,4.5,5.94
0.9165620803833008,-2.87,-3.94,5.74,7.53
0.926800012588501,-4.4,-4.52,8.0,10.18
0.9382929801940918,-5.78,-4.44,9.71,12.14
0.9479620456695557,-6.61,-3.32,10.03,12.46
0.956913948059082,-6.67,-2.02,9.71,11.95
0.9672279357910156,-6.6,-0.34,9.19,11.31
0.9771919250488281,-6.28,0.91,8.38,10.51
0.9887380599975586,-5.98,1.25,7.04,9.32
0.9983229637145996,-6.09,1.04,5.47,8.25
1.0072379112243652,-6.33,0.81,3.9,7.47
1.0179970264434814,-6.49,0.58,2.76,7.07
1.0275368690490723,-6.62,0.46,2.55,7.1
1.0391299724578857,-6.6,0.45,2.78,7.17
1.048717975616455,-6.24,0.72,2.53,6.77
1.057893991470337,-5.96,0.71,2.04,6.33
1.0681281089782715,-5.39,0.64,2.3,5.89
1.0778608322143555,-4.81,0.68,2.25,5.35
1.0894620418548584,-4.36,1.02,2.31,5.03
1.0991649627685547,-3.65,1.87,2.6,4.85
1.1079330444335938,-2.82,2.85,2.97,4.98
1.1181888580322266,-2.08,3.43,3.69,5.45
1.128255844116211,-1.75,3.36,4.33,5.75
1.1397809982299805,-1.67,3.2,4.49,5.76
1.1494760513305664,-1.5,2.9,4.2,5.31
1.1594181060791016,-1.35,2.5,3.51,4.51
1.1683299541473389,-1.11,2.11,2.77,3.65
1.178704023361206,-0.83,1.75,2.02,2.79
1.1900739669799805,-0.44,1.85,1.11,2.2
1.1999988555908203,0.12,2.03,0.51,2.09
1.2088830471038818,0.69,2.15,0.15,2.26
1.2190580368041992,1.28,2.28,-0.03,2.61
1.2289948463439941,1.7,2.43,-0.22,2.97
1.2404909133911133,2.09,2.62,-0.2,3.35
1.2510309219360352,2.39,2.84,0.17,3.71
1.2600159645080566,2.47,2.76,1.08,3.85
1.271131992340088,2.57,2.56,1.89,4.09
1.2794189453125,3.13,2.48,2.88,4.92
1.2911090850830078,3.76,2.58,3.71,5.87
1.301365852355957,3.84,2.85,3.26,5.78
1.3097610473632812,3.06,2.13,1.68,4.08
1.32147216796875,2.11,1.2,1.02,2.63
1.3299131393432617,1.7,0.99,1.44,2.43
1.3415429592132568,1.34,0.87,1.79,2.39
1.351897954940796,1.18,0.88,1.97,2.45
1.3611149787902832,1.24,0.92,1.78,2.35
1.3714499473571777,1.21,0.79,1.55,2.11
1.3803369998931885,0.95,0.55,1.56,1.9
1.3919548988342285,0.49,0.37,1.73,1.83
1.4023680686950684,0.17,0.46,1.99,2.04
1.410688877105713,0.22,0.61,2.05,2.15
1.4214589595794678,0.36,0.87,1.71,1.95
1.43072509765625,0.71,1.08,1.23,1.78
1.442317008972168,0.95,1.3,0.8,1.79
1.452341079711914,0.67,1.52,0.67,1.79
1.4617729187011719,0.33,1.43,0.45,1.53
1.4713010787963867,0.26,1.2,0.05,1.22
1.4811711311340332,0.43,1.04,-0.2,1.14
1.4928510189056396,0.65,1.11,-0.41,1.35
1.5030951499938965,0.78,1.23,-0.54,1.55
1.5112910270690918,0.64,1.21,-0.29,1.39
1.5215768814086914,0.29,1.11,-0.06,1.14
1.5314640998840332,-0.09,0.99,0.0,0.99
1.5429959297180176,-0.47,0.78,0.26,0.94
1.5528099536895752,-0.97,0.54,0.4,1.18
1.561872959136963,-1.46,0.24,0.32,1.51
1.5716471672058105,-1.76,-0.02,0.44,1.81
1.5818428993225098,-1.87,-0.02,0.7,1.99
1.5934319496154785,-1.74,0.14,0.98,2.0
1.6031129360198975,-1.34,0.37,1.28,1.88
1.6120669841766357,-1.07,0.57,1.58,1.99
1.622201919555664,-1.02,0.6,2.0,2.32
1.632284164428711,-1.19,0.44,2.85,3.11
1.643862009048462,-1.28,0.39,3.69,3.92
1.6535768508911133,-1.13,-0.24,3.98,4.14
1.6624219417572021,-1.04,-1.38,4.23,4.56
1.6725578308105469,-0.3,-1.46,4.4,4.64
1.682785987854004,0.09,-1.09,3.12,3.3
1.6942811012268066,-0.81,-1.42,0.37,1.67
1.7041330337524414,-1.81,-2.49,-0.77,3.17
