time,ax,ay,az,atotal
0.006253957748413086,2.17,0.28,1.61,2.71
0.01361393928527832,2.43,1.08,1.19,2.91
0.022799015045166016,1.99,1.62,0.88,2.71
0.033329010009765625,0.94,1.45,0.71,1.86
0.044116973876953125,-0.03,1.32,0.84,1.56
0.05284881591796875,-0.91,1.22,1.41,2.07
0.06327700614929199,-1.53,0.96,2.24,2.87
0.08764505386352539,-1.7,0.55,3.29,3.74
0.09050989151000977,-1.28,0.01,4.89,5.05
0.09313106536865234,-0.18,-0.28,6.25,6.25
0.10610699653625488,0.91,-0.67,7.0,7.09
0.1137380599975586,1.51,-1.54,6.73,7.06
0.1231849193572998,1.43,-1.73,5.33,5.78
0.13351893424987793,1.07,-1.28,3.7,4.05
0.1443490982055664,0.64,-0.96,2.22,2.5
0.1531820297241211,0.08,-0.83,0.79,1.14
0.16329002380371094,-0.75,-0.55,0.13,0.93
0.18795013427734375,-1.75,-0.26,0.04,1.76
0.1906108856201172,-2.39,-0.37,0.15,2.42
0.1932229995727539,-2.57,-0.67,0.36,2.68
0.20672893524169922,-2.31,-0.99,0.57,2.57
0.21391701698303223,-1.71,-1.25,0.93,2.31
0.22318100929260254,-1.31,-1.21,1.4,2.26
0.2333540916442871,-1.12,-0.97,1.45,2.07
0.24449586868286133,-0.98,-0.78,1.0,1.6
0.2531459331512451,-0.81,-0.57,0.26,1.02
0.26375389099121094,-1.06,-0.08,-0.7,1.27
0.28725099563598633,-1.15,0.28,-1.71,2.07
0.2899141311645508,-0.8,0.22,-2.6,2.72
0.29355287551879883,-0.34,-0.16,-3.38,3.4
0.30650901794433594,-0.12,-0.46,-3.6,3.63
0.31408214569091797,-0.03,-0.31,-3.08,3.09
0.32347893714904785,0.25,-0.71,-2.46,2.57
0.33347606658935547,-0.25,-0.6,-2.21,2.3
0.3447299003601074,-0.97,-0.21,-2.26,2.46
0.3536081314086914,-1.14,-0.51,-2.2,2.52
0.3639841079711914,-0.95,-1.06,-2.38,2.77
0.38793492317199707,-0.29,-1.04,-2.81,3.01
0.3906378746032715,0.2,-1.01,-3.55,3.69
0.3935070037841797,0.34,-1.08,-4.61,4.74
0.40706586837768555,0.52,-1.02,-5.26,5.38
0.4143819808959961,0.73,-1.13,-5.55,5.71
0.42377400398254395,0.94,-1.25,-5.21,5.43
0.4340939521789551,1.11,-0.89,-3.99,4.23
0.4449729919433594,0.22,-0.11,-2.54,2.55
0.45375680923461914,0.76,0.42,-2.46,2.6
0.46370601654052734,0.73,1.2,-2.41,2.78
0.4877948760986328,2.65,1.27,-3.47,4.54
0.49045610427856445,3.64,0.86,-3.94,5.43
